,Title,Country,Year,Rating,Director
1,The Shawshank Redemption,USA,1994,9.2,Frank Darabont 
2,The Godfather,USA,1972,9.2,Francis Ford Coppola 
3,The Godfather: Part II,USA,1974,9.0,Francis Ford Coppola 
4,The Dark Knight,USA,2008,9.0,Christopher Nolan 
5,12 Angry Men,USA,1957,8.9,Sidney Lumet 
6,Schindler's List,USA,1993,8.9,Steven Spielberg 
7,The Lord of the Rings: The Return of the King,USA,2003,8.9,Peter Jackson 
8,Pulp Fiction,USA,1994,8.9,Quentin Tarantino 
9,"The Good, the Bad and the Ugly",USA,1966,8.8,Sergio Leone 
10,Fight Club,USA,1999,8.8,David Fincher 
11,The Lord of the Rings: The Fellowship of the Ring,USA,2001,8.8,Peter Jackson 
12,Avengers: Endgame,USA,2019,8.8,Anthony Russo 
13,Forrest Gump,USA,1994,8.7,Robert Zemeckis 
14,Star Wars: Episode V - The Empire Strikes Back,USA,1980,8.7,Irvin Kershner 
15,Inception,USA,2010,8.7,Christopher Nolan 
16,The Lord of the Rings: The Two Towers,USA,2002,8.7,Peter Jackson 
17,One Flew Over the Cuckoo's Nest,USA,1975,8.7,Milos Forman 
18,Goodfellas,USA,1990,8.7,Martin Scorsese 
19,The Matrix,USA,1999,8.6,Lana Wachowski 
20,Seven Samurai,USA,1954,8.6,Akira Kurosawa 
21,Se7en,USA,1995,8.6,David Fincher 
22,City of God,USA,2002,8.6,Fernando Meirelles 
23,Star Wars: Episode IV - A New Hope,USA,1977,8.6,George Lucas 
24,The Silence of the Lambs,USA,1991,8.6,Jonathan Demme 
25,It's a Wonderful Life,USA,1946,8.6,Frank Capra 
26,Life Is Beautiful,USA,1997,8.6,Roberto Benigni 
27,Spirited Away,USA,2001,8.5,Hayao Miyazaki 
28,Saving Private Ryan,USA,1998,8.5,Steven Spielberg 
29,The Usual Suspects,USA,1995,8.5,Bryan Singer 
30,Léon: The Professional,USA,1994,8.5,Luc Besson 
31,The Green Mile,USA,1999,8.5,Frank Darabont 
32,Interstellar,USA,2014,8.5,Christopher Nolan 
33,Psycho,USA,1960,8.5,Alfred Hitchcock 
34,American History X,USA,1998,8.5,Tony Kaye 
35,City Lights,USA,1931,8.5,Charles Chaplin 
36,Casablanca,USA,1942,8.5,Michael Curtiz 
37,Once Upon a Time in the West,USA,1968,8.5,Sergio Leone 
38,The Pianist,USA,2002,8.5,Roman Polanski 
39,Modern Times,USA,1936,8.5,Charles Chaplin 
40,The Intouchables,France,2011,8.5,Olivier Nakache 
41,The Departed,USA,2006,8.5,Martin Scorsese 
42,Back to the Future,USA,1985,8.5,Robert Zemeckis 
43,Terminator 2: Judgment Day,USA,1991,8.5,James Cameron 
44,Whiplash,Philippines,2014,8.5,Damien Chazelle 
45,The Lion King,USA,1994,8.5,Roger Allers 
46,Rear Window,USA,1954,8.5,Alfred Hitchcock 
47,Raiders of the Lost Ark,USA,1981,8.5,Steven Spielberg 
48,Gladiator,USA,2000,8.5,Ridley Scott 
49,The Prestige,USA,2006,8.5,Christopher Nolan 
50,Apocalypse Now,USA,1979,8.4,Francis Ford Coppola 
51,Memento,USA,2000,8.4,Christopher Nolan 
52,Alien,USA,1979,8.4,Ridley Scott 
53,Spider-Man: Into the Spider-Verse,USA,2018,8.4,Bob Persichetti 
54,Grave of the Fireflies,USA,1988,8.4,Isao Takahata 
55,Cinema Paradiso,USA,1988,8.4,Giuseppe Tornatore 
56,The Great Dictator,USA,1940,8.4,Charles Chaplin 
57,Sunset Blvd,Australia,1950,8.4,Billy Wilder 
58,The Lives of Others,USA,2006,8.4,Florian Henckel von Donnersmarck 
